result_0,idxs_0,citations_0,class_0,result_1,idxs_1,citations_1,class_1,result_2,idxs_2,citations_2,class_2,id,enhanced,top_reason,top_order
"The MS system demonstrated pharmacological efficacy, showing a decrease of cell viability up to 50% in CRC spheroids.",[4],"['the cytotoxicity of the systems on 2D monolayers and 3D multicellular colorectal cancer (CRC) spheroids demonstrated the pharmacological efficacy of the active compounds retained by the MS system, showing a decrease of cell viability up to 50%, and']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""The MS system demonstrated pharmacological efficacy, showing a decrease of cell viability up to 50% in CRC spheroids."",""source_id"":[4]}]}",in vitro,"[0, 1, 5]","['behavior and mechanical stability of the MS systems. In vitro release studies on the NPs and MS system demonstrated a sustained drug leakage, with 40% Iri and 20% BVZ released after the first 8Â\xa0h. Permeability assays using a 3D intestinal model revealed', 'demonstrated mean sizes of 191Â\xa0nm (PDI: 0.179), -8 mV of surface charge and 45% retention of active compound. Rheological characterization confirmed the thermo-sensitive behavior and mechanical stability of the MS systems. In vitro release studies on the', 'and 20% BVZ released after the first 8Â\xa0h. Permeability assays using a 3D intestinal model revealed an enhanced drug permeation across the barrier. Furthermore, the cytotoxicity of the systems on 2D monolayers and 3D multicellular colorectal cancer (CRC)']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[0,1,5]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41881271,"{""enhanced_ver"":""The MS system demonstrated pharmacological efficacy, showing a decrease of cell viability up to 50% in CRC spheroids (in vitro)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes observed efficacy."",""The sentence is about the effectiveness of a system on CRC, not another condition."",""The sentence is specific enough for experts, mentioning the observed effect and study type."",""The sentence offers actionable insights for oncologists regarding preclinical efficacy of a drug delivery system."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999
FPSIR predicts clinical therapeutic responses and survival outcomes in patients with metastatic colorectal cancer undergoing first-line bevacizumab-containing chemotherapy.,[1],['FPSIR predicts clinical therapeutic responses and survival outcomes in patients with metastatic colorectal cancer undergoing first-line bevacizumab-containing chemotherapy.'],"{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""FPSIR predicts clinical therapeutic responses and survival outcomes in patients with metastatic colorectal cancer undergoing first-line bevacizumab-containing chemotherapy."",""source_id"":[1]}]}",clinical trial,[1],['clinical response to Bev/CT and outcomes in patients with mCRC. Materials and methods: This study enrolled 364 patients with mCRC undergoing first-line Bev/CT therapy. The patients were randomly assigned to discovery (n=249) and validation (n=115)'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[1]}]}",364 patients with metastatic colorectal cancer (mCRC) were treated with Bevacizumab in the study.,[0],['clinical response to Bev/CT and outcomes in patients with mCRC. Materials and methods: This study enrolled 364 patients with mCRC undergoing first-line Bev/CT therapy. The patients were randomly assigned to discovery (n=249) and validation (n=115)'],"{""fieldresult"":[{""name"":""Num participants"",""value"":""364 patients with metastatic colorectal cancer (mCRC) were treated with Bevacizumab in the study."",""source_id"":[0]}]}",41676146,"{""enhanced_ver"":""FPSIR predicts clinical therapeutic responses and survival outcomes in patients with metastatic colorectal cancer undergoing first-line bevacizumab-containing chemotherapy (clinical trial; 364 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes FPSIR's predictive role."",""The sentence is about the effectiveness of bevacizumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning FPSIR, the study type, and number of patients."",""The sentence offers actionable insights for oncologists regarding predictive biomarkers in mCRC."",""The study is a clinical trial with more than one patient, which is level 1.""]}","{""id"":0,""decision"":""YES"",""reasoning"":""Result 0 is a large clinical trial (364 patients) that evaluates FPSIR as a predictor of therapeutic response and survival outcomes in metastatic colorectal cancer with bevacizumab. It provides actionable insights for oncologists in patient stratification.""}",0
Bevacizumab-based chemotherapy resistance was defined as radiological progression of target liver metastases during first-line bevacizumab-containing therapy.,[1],['Appearance of â\x89¥1 new metastatic lesion.\nOutcome: Bevacizumab-based chemotherapy resistance was defined as radiological progression of target liver metastases during first-line bevacizumab-containing therapy. Progression was determined by the following:'],"{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab-based chemotherapy resistance was defined as radiological progression of target liver metastases during first-line bevacizumab-containing therapy."",""source_id"":[1]}]}",clinical trial,[3],"['A total of 42 patients were included in this study, contributing a total of 73 samples for analysis. To ensure strict independence between model development and validation, the cohort was partitioned at the patient level.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[3]}]}",42 patients were treated with Bevacizumab in the study,[0],"['Table 2 summarizes patient characteristics. This study included 42 patients (25 male/17 female) with a mean age of 55.90 Â± 10.88 years. Bevacizumab was administered at dosages of 200 mg (n = 3), 300 mg (n = 20), 400 mg (n = 16), 500 mg (n = 2), and 600']","{""fieldresult"":[{""name"":""Num participants"",""value"":""42 patients were treated with Bevacizumab in the study"",""source_id"":[0]}]}",41749677,"{""enhanced_ver"":""Bevacizumab-based chemotherapy resistance was defined as radiological progression of target liver metastases during first-line bevacizumab-containing therapy (clinical trial; 42 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it defines resistance."",""The sentence is about Bevacizumab effectiveness in Colorectal cancer."",""The sentence is specific enough for experts, including the definition of resistance and study type."",""The sentence provides actionable insight for oncologists regarding resistance definition."",""The study is a clinical trial with 42 patients, which is level 1.""]}",,999
FTD/TPI plus bevacizumab was associated with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039).,"[1, 7]","['plus bevacizumab (n = 35). Primary endpoints included overall survival (OS) and time to treatment failure (TTF). RESULTS: FTD/TPI plus bevacizumab was associated with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039).', 'with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039). In multivariate analysis, the combination regimen was identified as an independent predictor of favorable TTF (adjusted HR 0.44, 95% CI 0.22-0.91, p = 0.028).']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""FTD/TPI plus bevacizumab was associated with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039)."",""source_id"":[1,7]}]}",Retrospective study,[2],['population. METHODS: A retrospective study analyzed patients aged â\x89¥ 65 treated between 2019 and 2023. Patients received regorafenib (n = 46) or FTD/TPI plus bevacizumab (n = 35). Primary endpoints included overall survival (OS) and time to treatment'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""Retrospective study"",""source_id"":[2]}]}",35 patients with Colorectal cancer are treated with Bevacizumab in the study,"[1, 2, 3]","['population. METHODS: A retrospective study analyzed patients aged â\x89¥ 65 treated between 2019 and 2023. Patients received regorafenib (n = 46) or FTD/TPI plus bevacizumab (n = 35). Primary endpoints included overall survival (OS) and time to treatment', 'plus bevacizumab (n = 35). Primary endpoints included overall survival (OS) and time to treatment failure (TTF). RESULTS: FTD/TPI plus bevacizumab was associated with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039).', '(mCRC). This study evaluated the real-world effectiveness of trifluridine/tipiracil (FTD/TPI) plus bevacizumab versus regorafenib in this specific geriatric population. METHODS: A retrospective study analyzed patients aged â\x89¥ 65 treated between 2019 and']","{""fieldresult"":[{""name"":""Num participants"",""value"":""35 patients with Colorectal cancer are treated with Bevacizumab in the study"",""source_id"":[1,2,3]}]}",41827721,"{""enhanced_ver"":""FTD/TPI plus bevacizumab was associated with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039) (Retrospective study; 35 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed effectiveness."",""The sentence is specifically about the effectiveness of bevacizumab in colorectal cancer, not another condition."",""The sentence is specific enough for experts, including statistical significance and comparison to regorafenib."",""The sentence provides actionable insights for oncologists regarding treatment options in geriatric colorectal cancer patients."",""The study is a retrospective study with 35 patients, which is classified as level 2.""]}",,999
"Bevacizumab was associated with stable disease for 7 months, but peritoneal progression was detected.",[0],"['discussion, peri-operative systemic therapy based on FOLFOX-Bevacizumab was offered and was associated with stable disease for 7â\x80\x89months. Unfortunately, peritoneal progression was detected on PET/CT imaging. FOLFIRI-Bevacizumab was offered as second line']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab was associated with stable disease for 7 months, but peritoneal progression was detected."",""source_id"":[0]}]}",clinical trial,[8],['and the efficiency of other non-surgical therapies is not well known. The place of radiation therapy needs to be defined. A 62-year-old woman was referred for surgery for a few daysâ\x80\x99 history of large bowel obstruction. A previous abdominopelvic CT'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[8]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41425970,"{""enhanced_ver"":""Bevacizumab was associated with stable disease for 7 months, but peritoneal progression was detected (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed outcome."",""The sentence is specifically about the effectiveness of Bevacizumab on Colorectal cancer."",""The sentence is specific enough for experts, including the observed outcome and study type."",""The sentence provides actionable insight for oncologists regarding Bevacizumab's limited efficacy in Colorectal cancer and progression detection."",""The study type is a clinical trial, which is assigned priority level 1.""]}",,999
Bevacizumab increased the risk of mortality in colorectal cancer.,[0],"['cerebral ATE. Additionally, our data observed that bevacizumab increased the risk of mortality in colorectal cancer.']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab increased the risk of mortality in colorectal cancer."",""source_id"":[0]}]}","observational, retrospective, and pharmacovigilance study",[7],"['Design\nAn observational, retrospective, and pharmacovigilance study based on the FAERS database collected from the first quarter of 2004 to the third quarter of 2024 was conducted.\nMethods']","{""fieldresult"":[{""name"":""Type of study"",""value"":""observational, retrospective, and pharmacovigilance study"",""source_id"":[7]}]}",286 patients with Colorectal cancer treated with Bevacizumab,"[0, 5]","['with another meta-analysis spanning 11 global RCTs. Moreover, a single-institution retrospective analysis of 468 cancer patients treated with chemotherapy incorporating bevacizumab (n = 286), ramucirumab (n = 179), or aflibercept (n = 3) revealed no', 'a similar risk of TEEs. Kanbayashi Y et al. conducted a retrospective analysis of cancer patients, comparing thromboembolic events between bevacizumab (n = 286, TEEs = 23), ramucirumab (n = 179, TEEs = 3), and aflibercept (n = 3, TEEs = 0), indicating']","{""fieldresult"":[{""name"":""Num participants"",""value"":""286 patients with Colorectal cancer treated with Bevacizumab"",""source_id"":[0,5]}]}",41547870,"{""enhanced_ver"":""Bevacizumab increased the risk of mortality in colorectal cancer (observational, retrospective, and pharmacovigilance study; 286 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""4""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed outcome."",""The sentence is specifically about the effectiveness of Bevacizumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including study type and number of patients."",""The sentence offers actionable insights for oncologists regarding the increased mortality risk associated with Bevacizumab in colorectal cancer."",""The study type is observational, retrospective, and pharmacovigilance, which falls under level 4.""]}",,999
"Achieved radiologic regression and normalization of CEA levels, with pathological complete response confirmed.",[0],"['cancer-based regimen: FOLFOXIRI plus bevacizumab. After 7 cycles, both radiologic regression and normalization of CEA levels were achieved. Resection of the recurrent lesions confirmed a pathological complete response with no residual tumor cells.']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Achieved radiologic regression and normalization of CEA levels, with pathological complete response confirmed."",""source_id"":[0]}]}",Case report,[0],['Pathological Complete Response Achieved with Colorectal Cancer-Based Chemotherapy for Locally Recurrent Cecal Neuroendocrine Carcinoma after Surgery: A Case Report.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""Case report"",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41658037,"{""enhanced_ver"":""Achieved radiologic regression and normalization of CEA levels, with pathological complete response confirmed (Case report)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes a specific outcome."",""The sentence is about the effectiveness of Bevacizumab on Colorectal cancer."",""The sentence is specific enough for experts, including the study type."",""The sentence offers actionable insights for practicing oncologists, even though it is a case report."",""The study type is a case report, which corresponds to priority level 2.""]}",,999
"Bevacizumab showed a moderately improved OS (HR 0.71, 95% CI, 0.42-1.2) and significantly improved PFS (HR 0.49, 95% CI, 0.29-0.85) in metastatic colorectal cancer.",[4],"['response associated with a significantly improved PFS (hazard ratio [HR] 0.49, 95% CI, 0.29-0.85, P = .011) and moderately improved OS (HR 0.71, 95% CI, 0.42-1.2, P = .195). Patients with a Tie2-defined vascular response to first-line bevacizumab therapy']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab showed a moderately improved OS (HR 0.71, 95% CI, 0.42-1.2) and significantly improved PFS (HR 0.49, 95% CI, 0.29-0.85) in metastatic colorectal cancer."",""source_id"":[4]}]}",clinical trial,"[0, 4]","['after 7.7 years of follow-up, explore efficacy of bevacizumab use and reuse, and assess plasma Tie2 performance as a response biomarker. METHODS: This single-center, prospective study recruited 70 patients with newly diagnosed, large volume, metastatic', 'prospective study recruited 70 patients with newly diagnosed, large volume, metastatic colorectal cancer. Patients received first-line oxaliplatin-fluoropyrimidine chemotherapy plus bevacizumab. After disease progression, 22 patients were randomized to']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0,4]}]}","70 patients with newly diagnosed, large volume, metastatic colorectal cancer were treated with bevacizumab.","[0, 1, 2]","['prospective study recruited 70 patients with newly diagnosed, large volume, metastatic colorectal cancer. Patients received first-line oxaliplatin-fluoropyrimidine chemotherapy plus bevacizumab. After disease progression, 22 patients were randomized to', 'after 7.7 years of follow-up, explore efficacy of bevacizumab use and reuse, and assess plasma Tie2 performance as a response biomarker. METHODS: This single-center, prospective study recruited 70 patients with newly diagnosed, large volume, metastatic', 'chemotherapy plus bevacizumab. After disease progression, 22 patients were randomized to receive second-line fluorouracil-irinotecan chemotherapy with or without bevacizumab. A vascular response was defined as a 5% or more reduction in plasma Tie2 within']","{""fieldresult"":[{""name"":""Num participants"",""value"":""70 patients with newly diagnosed, large volume, metastatic colorectal cancer were treated with bevacizumab."",""source_id"":[0,1,2]}]}",41390254,"{""enhanced_ver"":""Bevacizumab showed a moderately improved OS (HR 0.71, 95% CI, 0.42-1.2) and significantly improved PFS (HR 0.49, 95% CI, 0.29-0.85) in metastatic colorectal cancer (clinical trial; 70 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes observed outcomes."",""The sentence is specifically about the effectiveness of bevacizumab in metastatic colorectal cancer."",""The sentence is specific enough for experts, including HR values and statistical significance."",""The sentence provides actionable insights for oncologists regarding bevacizumab's impact on PFS and OS."",""The study is a clinical trial with 70 patients, which is level 1 priority.""]}","{""id"":3,""decision"":""YES"",""reasoning"":""Result 3 provides a moderate OS improvement and significant PFS improvement in a clinical trial (70 patients), which is actionable for understanding bevacizumab's efficacy in metastatic colorectal cancer.""}",1
"Bevacizumab treatment in CRC cohorts was associated with decreased OS (36.8 vs 32.6 months, p=0.013; HR 1.21).","[0, 1, 6]","['decreased OS in the CRC cohorts treated with bevacizumab (36.8 vs 32.6 months, p=0.013; HR 1.21 (95%â\x80\x89CI 1.02 to 1.23)) and anti-EGFR therapy with cetuximab/panitumumab (28.4 vs 22.2 months, p=0.005; HR 1.21 (95%â\x80\x89CI 1.06 to 1.38)) (figure 4C,D).', 'to 1.23)), but not in the KRAS mutant CRC subgroup (33.1 vs 34.7 months, p=0.576) (figure 4E,F). Similarly, increased AXL expression was correlated with decreased OS in the CRC cohorts treated with bevacizumab (36.8 vs 32.6 months, p=0.013; HR 1.21', 'group had a numerically lower OS relative to bevacizumab-treated patients with high AXL expression (20.2 months vs 25.9 months) in CALGB/SWOG 80405 (online supplemental figure S6). While we did not observe a significant treatment interaction effect, this']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab treatment in CRC cohorts was associated with decreased OS (36.8 vs 32.6 months, p=0.013; HR 1.21)."",""source_id"":[0,1,6]}]}",clinical trial,"[1, 4, 5]","['This study integrated real-world molecular profiling (Caris cohort; n=24,257) and randomized clinical trial data (phase III Cancer and Leukemia Group B/Southwest Oncology Group (CALGB/SWOG) 80405; n=433) to assess AXL messenger RNA expression in patients', 'The clinical trial dataset was derived from the phase III trial CALGB/SWOG 80405: Cancer and Leukemia Group B (CALGB of the Alliance for Clinical Trials in Oncology)/Southwest Oncology Group (SWOG) 80405, in which 433 patients were randomized to receive', 'Although preclinical studies have established AXLâ\x80\x99s role in CRC, clinical validation has been limited to two retrospective studies on metastatic and early-stage disease. Our dual-cohort analysis integrates real-world molecular profiling with phase III']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[1,4,5]}]}",226 patients with Colorectal cancer were treated with Bevacizumab in the study,[0],"['Oncology)/Southwest Oncology Group (SWOG) 80405, in which 433 patients were randomized to receive bevacizumab (n=226) or cetuximab (n=207) with chemotherapy backbones of fluorouracil, leucovorin, and oxaliplatin (FOLFOX) or fluorouracil, leucovorin, and']","{""fieldresult"":[{""name"":""Num participants"",""value"":""226 patients with Colorectal cancer were treated with Bevacizumab in the study"",""source_id"":[0]}]}",41423272,"{""enhanced_ver"":""Bevacizumab treatment in CRC cohorts was associated with decreased OS (36.8 vs 32.6 months, p=0.013; HR 1.21) (clinical trial; 226 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not describe the effectiveness as not being described in the text; it clearly reports the observed outcome."",""The sentence is specifically about the effectiveness of Bevacizumab on Colorectal cancer, not another condition."",""The sentence is specific enough for experts, including statistical details and HR."",""The sentence provides actionable insights for oncologists regarding OS in CRC patients treated with Bevacizumab."",""The study is a clinical trial with more than one patient, which is level 1.""]}",,999
"Bevacizumab is used in treating colorectal cancer and suppresses tumor angiogenesis, prolonging survival.","[0, 2]","['Bevacizumab (Bev), a monoclonal antibody targeting vascular endothelial growth factor (VEGF), is widely used in the treatment of various solid tumors, including colorectal cancer, non-small cell lung cancer, and hepatocellular carcinoma. Inhibition of', 'colorectal cancer, non-small cell lung cancer, and hepatocellular carcinoma. Inhibition of VEGF signaling suppresses tumor angiogenesis and prolongs survival, but frequently induces renal vascular adverse events such as hypertension and proteinuria. These']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab is used in treating colorectal cancer and suppresses tumor angiogenesis, prolonging survival."",""source_id"":[0,2]}]}","single-center, prospective, pilot, open-label trial",[1],"['Study design and subjects. This study was a single-center, prospective, pilot, open-label trial conducted in the Outpatient Surgery Department of Iwate Medical University Hospital. Eligible participants were those with Bev-induced hypertension. The']","{""fieldresult"":[{""name"":""Type of study"",""value"":""single-center, prospective, pilot, open-label trial"",""source_id"":[1]}]}",26 patients with colorectal cancer were treated with Bevacizumab in the study.,[4],"['A total of 30 patients were included in the study, but four patients dropped out. Ultimately, 26 patients (13 in each group) completed the trial (Figure 1). Table I summarizes the baseline characteristics of the study groups. The mean age was 68.4Â±9.0']","{""fieldresult"":[{""name"":""Num participants"",""value"":""26 patients with colorectal cancer were treated with Bevacizumab in the study."",""source_id"":[4]}]}",41482380,"{""enhanced_ver"":""Bevacizumab is used in treating colorectal cancer and suppresses tumor angiogenesis, prolonging survival (single-center, prospective, pilot, open-label trial; 26 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the effectiveness of Bevacizumab."",""The sentence is specifically about the effectiveness of Bevacizumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence offers actionable insights for practicing oncologists regarding Bevacizumab use in colorectal cancer."",""The study is a clinical trial with 26 patients, which falls under priority level 1.""]}",,999
